943,1789526
951,1789348
959,62007
967,1411398
975,1820055
983,2563472
991,396497
999,1357072
1007,1795840
1015,1828408
1023,1810722
1031,350382
1039,2560066
1047,1837755
1055,1020676
1063,1020674
1071,2294308
1079,1070363
1087,1210718
1095,1838142
1103,1848165
1111,1025644
1119,1792934
1127,958930
1135,1242005
1143,1739791
1151,1425405
1159,1848167
1167,1416617
1175,2535264
1183,1070340
1191,1846502
1199,1913179
1207,1810734
1215,1027982
1223,1795841
1231,2534167
1239,1788771
1247,1800717
1255,1796960
1263,104783
1271,1742080
1279,92017
1287,1788772
1295,1846507
1303,1242002
1311,2532619
1319,1491031
1327,317004582
1335,1833614
1343,1180454
1351,1800573
1359,1839456
1367,78971
1375,1792939
1383,936351
1391,1411469
1399,1847614
1407,1070328
1415,2532500
1423,1833615
1431,62003
1439,1180472
1447,1827486
1455,1804283
1463,270648
1471,1818404
1479,1740278
1487,1913182
1495,1826582
1503,1792163
1511,1829176
1519,1850801
1527,1801520
1535,1027986
1543,1799443
1551,1827090
1559,122576
1567,1739802
1575,1848768
1583,1814616
1591,1907334
1599,1818407
1607,316967524
1615,2417970
1623,1837110
1631,533031
1639,1826746
1647,2532503
1655,1790070
1663,1739805
1671,1789780
1679,1797346
1687,1818409
1695,1411339
1703,1822205
1711,1798737
1719,1425465
1727,1070376
1735,1059843
1743,1739809
1751,1411468
1759,1210719
1767,1827116
1775,2528698
1783,1801527
1791,1802080
1799,1742088
1807,350378
1815,76617
1823,945043
1831,1634509
1839,1802224
1847,1848174
1855,1232199
1863,1810793
1871,270663
1879,1818410
1887,1846522
1895,177915
1903,936973
1911,396492
1919,1835282
1927,1804285
1935,1822207
1943,1180525
1951,1848777
1959,1848176
1967,1210727
1975,1798740
1983,1020717
1991,1070408
1999,1740628
2007,1740283
2015,2528703
2023,2532626
2031,1818412
2039,2528704
2047,1357004
2055,1839087
2063,2528705
2071,1848779
2079,1210742
2087,1848181
2095,1789870
2103,1910158
2111,1810957
2119,1739820
2127,1070326
2135,1180535
2143,962837
2151,2528708
2159,1847627
2167,1800721
2175,1835283
2183,1828367
2191,1801749
2199,1210750
2207,1425480
2215,1848780
2223,936304
2231,1411317
2239,1839021
2247,1236353
2255,1210711
2263,2528711
945,1180531
953,1425426
961,1795839
969,1907303
977,1792810
985,1070368
993,2534164
1001,1839608
1009,1425434
1017,1827112
1025,1425446
1033,1836608
1041,1833612
1049,2528674
1057,1848759
1065,1742074
1073,1846498
1081,1020677
1089,317007157
1097,2563474
1105,1828415
1113,1425402
1121,1829175
1129,1149480
1137,92026
1145,1742076
1153,416664
1161,1742086
1169,1799705
1177,1836992
1185,1827725
1193,1210713
1201,1837743
1209,
1217,1838014
1225,163283
1233,1822193
1241,1739796
1249,2528679
1257,1848762
1265,396508
1273,1827485
1281,62022
1289,1833613
1297,936322
1305,1828370
1313,1822195
1321,1744355
1329,1059834
1337,2023976
1345,1822196
1353,1789529
1361,1810728
1369,3379365
1377,1850799
1385,1857000
1393,2528685
1401,1153517
1409,1822197
1417,2532501
1425,1810738
1433,1833616
1441,1832183
1449,1907312
1457,1846512
1465,1020709
1473,1028128
1481,1180508
1489,1792811
1497,1826745
1505,1582241
1513,1020125
1521,1848171
1529,421121
1537,1210733
1545,2528689
1553,1848767
1561,1837616
1569,1836994
1577,1059841
1585,1818406
1593,911262
1601,1847618
1609,1812642
1617,316987708
1625,1742087
1633,1411396
1641,1180520
1649,2528693
1657,1739804
1665,1827487
1673,1847620
1681,1848173
1689,1411354
1697,1837111
1705,1828438
1713,2605270
1721,1073771
1729,1073788
1737,1070370
1745,1796961
1753,1271255
1761,1828575
1769,1798739
1777,1846517
1785,1411335
1793,1846518
1801,1744358
1809,1848773
1817,1846519
1825,178391
1833,1739813
1841,130537
1849,1153067
1857,2532507
1865,2534177
1873,1024740
1881,452082
1889,1839610
1897,1848175
1905,1792985
1913,1425401
1921,417157
1929,911268
1937,1150429
1945,1242003
1953,1832966
1961,1827125
1969,1073870
1977,1271256
1985,1425417
1993,1848177
2001,1802226
2009,1837113
2017,1846555
2025,1425475
2033,1800720
2041,417154
2049,2532509
2057,1792945
2065,416905
2073,2528706
2081,1812956
2089,1739817
2097,1792947
2105,2534182
2113,1792948
2121,935964
2129,1073863
2137,1839478
2145,1822212
2153,1073869
2161,1812958
2169,1790071
2177,1242000
2185,2534183
2193,443690
2201,911250
2209,1846535
2217,1792815
2225,1425483
2233,1739821
2241,416665
2249,1837804
2257,901500
2265,1798741
2273,1165268
2281,1818415
2289,1846536
2297,1837116
2305,1028121
2313,1802227
2321,1742093
2329,1740630
2337,1841074
2345,1325524
2353,1792165
2361,1180546
2369,1792950
2377,270806
2385,1795713
2393,1425474
2401,2535181
2409,1790342
2417,1740286
2425,1822217
2433,1822218
2441,1846539
